Regime,Regime_Start,Regime_End,N_Observations,Y_Variable_Group,Y_Variable,X_Category,X_Variable,Correlation,Abs_Correlation,P_Value,Significant_5pct,Significant_1pct
Recent,2023-01-01,2025-12-31,35,Drawdown6m,Drawdown6m_.NIFSMCP100,commodity,Silver,-0.2893202308294713,0.2893202308294713,0.09184434416605014,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown6m,Drawdown6m_.NIFSMCP100,commodity,Crude,0.3634985723404257,0.3634985723404257,0.03183964933164707,True,False
Recent,2023-01-01,2025-12-31,35,Drawdown6m,Drawdown6m_.NIFSMCP100,commodity,BTC,-0.3928686119833658,0.3928686119833658,0.019565339882460453,True,False
COVID,2020-01-01,2022-12-31,36,LogReturn,LogReturn_.NSEI,commodity,Gold,0.32490477459651307,0.32490477459651307,0.053180892014058845,False,False
COVID,2020-01-01,2022-12-31,36,LogReturn,LogReturn_.NSEI,commodity,Silver,0.30089684059832067,0.30089684059832067,0.07454557096882541,False,False
COVID,2020-01-01,2022-12-31,36,LogReturn,LogReturn_.NSEI,commodity,Crude,0.00918422928513771,0.00918422928513771,0.9576031089599077,False,False
COVID,2020-01-01,2022-12-31,36,LogReturn,LogReturn_.NSEI,commodity,BTC,0.0848690922636702,0.0848690922636702,0.6226253371357462,False,False
COVID,2020-01-01,2022-12-31,36,LogReturn,LogReturn_.NIFMDCP100,commodity,Gold,0.2714056982974026,0.2714056982974026,0.10933658158582649,False,False
COVID,2020-01-01,2022-12-31,36,LogReturn,LogReturn_.NIFMDCP100,commodity,Silver,0.328551992777195,0.328551992777195,0.05041377263018609,False,False
COVID,2020-01-01,2022-12-31,36,LogReturn,LogReturn_.NIFMDCP100,commodity,Crude,0.013458369398500642,0.013458369398500642,0.9379045630938301,False,False
COVID,2020-01-01,2022-12-31,36,LogReturn,LogReturn_.NIFMDCP100,commodity,BTC,0.08696827888281794,0.08696827888281794,0.6140144105096987,False,False
COVID,2020-01-01,2022-12-31,36,LogReturn,LogReturn_.NIFSMCP100,commodity,Gold,0.3077887803568402,0.3077887803568402,0.06782381032883089,False,False
COVID,2020-01-01,2022-12-31,36,LogReturn,LogReturn_.NIFSMCP100,commodity,Silver,0.3905040318597447,0.3905040318597447,0.018538274960210988,True,False
COVID,2020-01-01,2022-12-31,36,LogReturn,LogReturn_.NIFSMCP100,commodity,Crude,-0.04083456947708532,0.04083456947708532,0.8130763799418275,False,False
COVID,2020-01-01,2022-12-31,36,LogReturn,LogReturn_.NIFSMCP100,commodity,BTC,0.08931249271503873,0.08931249271503873,0.6044581500198247,False,False
