date,ticker,open,high,low,close
2015-05-15,INDIA VIX,20.7,20.98,19.1,19.82
2015-05-18,INDIA VIX,19.82,20.47,16.77,17.9
2015-05-19,INDIA VIX,17.9,18.52,14.87,18.27
2015-05-20,INDIA VIX,18.27,18.27,17.0,17.72
2015-05-21,INDIA VIX,17.72,18.06,16.14,17.41
2015-05-22,INDIA VIX,17.41,17.44,15.2,16.95
2015-05-25,INDIA VIX,16.95,17.7,14.68,16.93
2015-05-26,INDIA VIX,16.93,17.84,16.82,17.07
2015-05-27,INDIA VIX,17.07,17.97,16.91,17.28
2015-05-28,INDIA VIX,17.28,17.72,16.6,17.13
2015-05-29,INDIA VIX,17.13,17.71,16.44,16.66
2015-06-01,INDIA VIX,16.66,17.45,16.06,16.91
2015-06-02,INDIA VIX,16.91,17.14,16.03,16.82
2015-06-03,INDIA VIX,16.82,17.92,15.86,17.51
2015-06-04,INDIA VIX,18.0,18.67,17.9,18.12
2015-06-05,INDIA VIX,18.12,18.38,17.69,18.09
2015-06-08,INDIA VIX,18.09,19.07,17.16,18.89
2015-06-09,INDIA VIX,18.89,19.12,16.48,18.01
2015-06-10,INDIA VIX,18.01,18.02,16.71,17.08
2015-06-11,INDIA VIX,17.08,17.95,15.95,17.81
2015-06-12,INDIA VIX,17.81,18.21,16.15,17.48
2015-06-15,INDIA VIX,17.48,18.02,15.35,17.53
2015-06-16,INDIA VIX,17.53,17.86,14.09,17.17
2015-06-17,INDIA VIX,17.17,17.19,14.3,16.73
2015-06-18,INDIA VIX,16.73,16.73,14.45,16.02
2015-06-19,INDIA VIX,16.02,16.02,14.91,15.09
2015-06-22,INDIA VIX,15.09,15.75,13.74,15.49
2015-06-23,INDIA VIX,15.49,16.52,14.83,15.04
2015-06-24,INDIA VIX,15.04,16.61,14.95,15.92
2015-06-25,INDIA VIX,15.92,16.71,15.5,15.93
2015-06-26,INDIA VIX,15.93,16.53,15.52,15.76
2015-06-29,INDIA VIX,18.11,18.31,17.12,17.3
2015-06-30,INDIA VIX,17.3,17.84,16.78,16.93
2015-07-01,INDIA VIX,16.93,17.1,15.72,15.85
2015-07-02,INDIA VIX,15.63,15.77,15.34,15.56
2015-07-03,INDIA VIX,15.56,16.39,14.79,16.31
2015-07-06,INDIA VIX,16.31,17.05,15.89,16.02
2015-07-07,INDIA VIX,16.02,16.57,15.22,16.31
2015-07-08,INDIA VIX,16.31,18.38,15.89,17.79
2015-07-09,INDIA VIX,17.79,18.07,16.29,17.44
2015-07-10,INDIA VIX,17.44,17.63,16.24,17.07
2015-07-13,INDIA VIX,17.07,17.72,15.57,16.27
2015-07-14,INDIA VIX,16.27,16.62,14.7,16.01
2015-07-15,INDIA VIX,16.01,16.03,14.62,15.57
2015-07-16,INDIA VIX,15.57,15.57,14.3,14.78
2015-07-17,INDIA VIX,14.78,15.14,13.29,14.8
2015-07-20,INDIA VIX,14.8,15.62,12.74,14.96
2015-07-21,INDIA VIX,14.96,15.31,13.03,15.1
2015-07-22,INDIA VIX,15.1,15.35,13.5,15.13
2015-07-23,INDIA VIX,15.13,15.74,13.1,15.52
2015-07-24,INDIA VIX,15.52,15.93,12.07,15.46
2015-07-27,INDIA VIX,15.46,17.05,12.93,16.37
2015-07-28,INDIA VIX,16.37,16.57,15.59,15.92
2015-07-29,INDIA VIX,15.92,16.34,14.13,15.88
2015-07-30,INDIA VIX,15.88,15.88,14.66,15.33
2015-07-31,INDIA VIX,15.33,15.58,14.5,14.57
2015-08-03,INDIA VIX,14.57,15.65,14.28,15.39
2015-08-04,INDIA VIX,15.39,15.7,14.28,14.83
2015-08-05,INDIA VIX,14.83,14.88,13.69,14.67
2015-08-06,INDIA VIX,14.67,15.01,12.89,14.73
2015-08-07,INDIA VIX,14.73,15.07,13.31,14.91
2015-08-10,INDIA VIX,14.91,15.46,14.24,15.44
2015-08-11,INDIA VIX,15.47,16.09,13.55,15.89
2015-08-12,INDIA VIX,15.89,17.72,14.8,17.45
2015-08-13,INDIA VIX,16.57,17.41,16.54,17.02
2015-08-14,INDIA VIX,17.02,17.02,15.14,16.02
2015-08-17,INDIA VIX,16.02,17.2,15.29,16.46
2015-08-18,INDIA VIX,16.46,16.66,15.44,16.36
2015-08-19,INDIA VIX,16.36,16.99,14.95,16.68
2015-08-20,INDIA VIX,16.68,17.21,15.5,16.98
2015-08-21,INDIA VIX,16.98,18.73,15.78,17.12
2015-08-24,INDIA VIX,17.12,30.65,17.12,28.13
2015-08-25,INDIA VIX,28.13,35.57,26.08,26.85
2015-08-26,INDIA VIX,26.85,29.05,23.53,25.52
2015-08-27,INDIA VIX,25.52,25.52,21.52,22.04
2015-08-28,INDIA VIX,22.04,23.67,20.08,23.33
2015-08-31,INDIA VIX,23.33,24.74,22.68,24.6
2015-09-01,INDIA VIX,24.6,30.44,24.44,28.72
2015-09-02,INDIA VIX,28.72,28.72,26.38,26.65
2015-09-03,INDIA VIX,26.65,26.65,23.72,24.12
2015-09-04,INDIA VIX,24.12,27.25,23.49,26.42
2015-09-07,INDIA VIX,26.42,26.83,24.51,26.35
2015-09-08,INDIA VIX,26.35,26.44,23.84,24.57
2015-09-09,INDIA VIX,24.57,24.66,21.89,24.3
2015-09-10,INDIA VIX,24.3,25.84,24.02,24.75
2015-09-11,INDIA VIX,24.75,25.26,23.65,24.98
2015-09-14,INDIA VIX,24.98,25.27,23.46,24.32
2015-09-15,INDIA VIX,24.32,24.56,22.7,23.74
2015-09-16,INDIA VIX,23.74,23.74,21.6,22.0
2015-09-18,INDIA VIX,22.0,22.0,17.88,18.29
2015-09-21,INDIA VIX,18.29,18.92,16.99,18.18
2015-09-22,INDIA VIX,18.18,21.25,17.21,20.35
2015-09-23,INDIA VIX,20.34,22.19,19.77,20.68
2015-09-24,INDIA VIX,20.69,21.57,19.39,20.88
2015-09-28,INDIA VIX,20.88,22.24,20.77,21.67
2015-09-29,INDIA VIX,21.67,23.63,20.44,21.57
2015-09-30,INDIA VIX,21.57,21.57,19.37,19.63
2015-10-01,INDIA VIX,19.63,20.11,18.34,19.24
2015-10-05,INDIA VIX,19.24,19.46,18.06,19.13
2015-10-06,INDIA VIX,19.13,19.9,17.39,19.31
2015-10-07,INDIA VIX,19.31,19.74,17.9,19.34
2015-10-08,INDIA VIX,19.34,19.93,17.35,19.56
2015-10-09,INDIA VIX,19.56,19.69,17.86,18.93
2015-10-12,INDIA VIX,18.93,19.99,17.19,19.12
2015-10-13,INDIA VIX,19.12,19.22,17.85,18.02
2015-10-14,INDIA VIX,18.02,18.28,15.76,17.72
