"Date","Price","Open","High","Low","Change %"
"01-09-2016","6.958","7.104","7.126","6.910","-2.14%"
"01-08-2016","7.110","7.138","7.225","7.074","-0.74%"
"01-07-2016","7.163","7.441","7.441","7.161","-3.83%"
"01-06-2016","7.448","7.473","7.546","7.421","-0.31%"
"01-05-2016","7.471","7.439","7.499","7.419","0.48%"
"01-04-2016","7.435","7.451","7.496","7.353","-0.32%"
"01-03-2016","7.459","7.630","7.672","7.453","-2.15%"
"01-02-2016","7.623","7.793","7.879","7.617","-2.01%"
"01-01-2016","7.779","7.754","7.832","7.707","0.27%"
"01-12-2015","7.758","7.785","7.818","7.686","-0.36%"
"01-11-2015","7.786","7.640","7.788","7.610","1.91%"
"01-10-2015","7.640","7.527","7.648","7.496","1.34%"
"01-09-2015","7.539","7.793","7.803","7.527","-3.15%"
"01-08-2015","7.784","7.788","7.911","7.712","-0.28%"
"01-07-2015","7.806","7.865","7.909","7.725","-0.70%"
"01-06-2015","7.861","7.815","8.017","7.689","0.59%"
"01-05-2015","7.815","7.875","8.007","7.809","-0.57%"
"01-04-2015","7.860","7.722","7.873","7.711","1.58%"
"01-03-2015","7.738","7.738","7.811","7.648","0.18%"
"01-02-2015","7.724","7.700","7.752","7.640","0.43%"
"01-01-2015","7.691","7.852","7.918","7.672","-2.09%"
"01-12-2014","7.855","8.058","8.110","7.780","-2.87%"
"01-11-2014","8.087","8.262","8.266","8.059","-2.31%"
"01-10-2014","8.278","8.511","8.511","8.255","-2.74%"
"01-09-2014","8.511","8.563","8.563","8.423","-0.56%"
"01-08-2014","8.559","8.747","8.890","8.479","-1.82%"
"01-07-2014","8.718","8.739","8.840","8.634","-0.30%"
"01-06-2014","8.744","8.652","8.785","8.497","1.15%"
"01-05-2014","8.645","8.816","8.875","8.600","-2.07%"
"01-04-2014","8.828","8.863","9.129","8.811","0.27%"
"01-03-2014","8.804","8.865","8.925","8.695","-0.65%"
"01-02-2014","8.862","8.774","8.943","8.659","1.05%"
"01-01-2014","8.770","8.828","8.878","8.493","-0.57%"
"01-12-2013","8.820","9.058","9.190","8.743","-2.48%"
"01-11-2013","9.044","8.658","9.144","8.638","4.86%"
"01-10-2013","8.625","8.713","8.743","8.396","-1.61%"
"01-09-2013","8.766","8.588","8.901","8.163","1.98%"
"01-08-2013","8.596","8.172","9.484","8.038","5.19%"
"01-07-2013","8.172","7.463","8.481","7.409","9.85%"
"01-06-2013","7.439","7.424","7.592","7.192","-0.05%"
"01-05-2013","7.443","7.713","7.801","7.315","-3.73%"
"01-04-2013","7.731","7.960","8.007","7.711","-2.77%"
"01-03-2013","7.951","7.855","7.991","7.832","1.00%"
"01-02-2013","7.872","7.925","7.939","7.782","-0.51%"
"01-01-2013","7.912","7.984","8.010","7.791","-1.70%"
"01-12-2012","8.049","8.169","8.187","8.035","-1.54%"
"01-11-2012","8.175","8.221","8.237","8.163","-0.49%"
"01-10-2012","8.215","8.147","8.221","8.114","0.81%"
"01-09-2012","8.149","8.236","8.236","8.118","-1.12%"
"01-08-2012","8.241","8.243","8.280","8.108","-0.05%"
"01-07-2012","8.245","8.434","8.434","8.018","-1.61%"
"01-06-2012","8.380","8.359","8.459","8.245","0.04%"
"01-05-2012","8.377","8.703","8.703","8.364","-3.39%"
"01-04-2012","8.671","8.514","8.757","8.312","1.15%"
"01-03-2012","8.572","8.209","8.630","8.199","4.55%"
"01-02-2012","8.199","8.133","8.273","8.099","-0.82%"
"01-01-2012","8.267","8.633","8.633","8.109","-3.42%"
"01-12-2011","8.560","8.740","8.740","8.276","-2.04%"
"01-11-2011","8.738","8.956","9.132","8.730","-1.59%"
"01-10-2011","8.879","8.506","8.879","8.506","5.18%"
"01-09-2011","8.442","8.338","8.442","8.281","1.48%"
"01-08-2011","8.319","8.428","8.461","8.192","-1.60%"
"01-07-2011","8.454","8.357","8.472","8.238","1.54%"
"01-06-2011","8.326","8.357","8.397","8.196","-1.01%"
"01-05-2011","8.411","8.148","8.461","8.139","3.39%"
"01-04-2011","8.135","7.989","8.135","7.964","1.88%"
"01-03-2011","7.985","8.016","8.018","7.931","-0.09%"
"01-02-2011","7.992","8.145","8.212","7.992","-1.91%"
"01-01-2011","8.148","7.950","8.234","7.950","2.97%"
"01-12-2010","7.913","8.083","8.219","7.893","-1.90%"
"01-11-2010","8.066","8.115","8.115","7.937","-0.68%"
"01-10-2010","8.121","7.896","8.177","7.896","3.43%"
"01-09-2010","7.852","7.942","8.009","7.833","-1.06%"
"01-08-2010","7.936","7.857","8.067","7.784","1.70%"
"01-07-2010","7.803","7.521","7.803","7.521","3.20%"
"01-06-2010","7.561","7.564","7.686","7.463","-0.04%"
"01-05-2010","7.564","8.070","8.070","7.368","-6.17%"
"01-04-2010","8.061","7.843","8.124","7.772","2.69%"
"01-03-2010","7.850","7.920","8.015","7.738","-0.18%"
"01-02-2010","7.864","7.584","7.923","7.584","3.60%"
"01-01-2010","7.591","7.706","7.806","7.538","-1.15%"
"01-12-2009","7.679","7.260","7.739","7.260","5.82%"
"01-11-2009","7.257","7.288","7.359","7.168","-0.67%"
"01-10-2009","7.306","7.194","7.462","7.164","1.26%"
"01-09-2009","7.215","7.215","7.215","7.215","-2.95%"
"01-08-2009","7.434","7.434","7.434","7.434","6.23%"
"01-07-2009","6.998","6.998","6.998","6.998","-0.21%"
"01-06-2009","7.013","7.013","7.013","7.013","4.52%"
"01-05-2009","6.710","6.710","6.710","6.710","7.50%"
"01-04-2009","6.242","6.242","6.242","6.242","-11.01%"
"01-03-2009","7.014","7.014","7.014","7.014","10.84%"
"01-02-2009","6.328","6.328","6.328","6.328","2.28%"
"01-01-2009","6.187","6.187","6.187","6.187","17.62%"
"01-12-2008","5.260","5.260","5.260","5.260","-25.71%"
"01-11-2008","7.080","7.080","7.080","7.080","-5.32%"
"01-10-2008","7.478","7.478","7.478","7.478","-13.22%"
"01-09-2008","8.617","8.617","8.617","8.617","-0.95%"
"01-08-2008","8.700","8.700","8.700","8.700","-6.61%"
"01-07-2008","9.316","9.316","9.316","9.316","6.92%"
"01-06-2008","8.713","8.713","8.713","8.713","7.55%"
"01-05-2008","8.101","8.101","8.101","8.101","1.82%"
"01-04-2008","7.956","7.956","7.956","7.956","0.23%"
"01-03-2008","7.938","7.938","7.938","7.938","4.89%"
"01-02-2008","7.568","7.568","7.568","7.568","0.52%"
"01-01-2008","7.529","7.529","7.529","7.529","-3.36%"
