"date","ticker","name","exchange","open","high","low","close","volume","last_updated"
2012-10-01,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3448.0,3497.5,3448.0,3494.5,0,2025-10-15 10:53:52.910
2012-10-01,NIFTY 50,NIFTY 50,NSE,5704.75,5722.95,5694.0,5718.8,0,2025-10-15 10:50:43.804
2012-10-01,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7841.0,7919.0,7841.0,7916.8,0,2025-10-15 10:50:53.899
2012-10-03,NIFTY 50,NIFTY 50,NSE,5727.7,5743.25,5715.8,5731.25,0,2025-10-15 10:50:43.804
2012-10-03,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7918.4,7989.35,7918.4,7975.3,0,2025-10-15 10:50:53.899
2012-10-03,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3503.05,3523.5,3500.85,3518.9,0,2025-10-15 10:53:52.910
2012-10-04,NIFTY 50,NIFTY 50,NSE,5751.55,5807.25,5751.35,5787.6,0,2025-10-15 10:50:43.804
2012-10-04,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7976.95,8069.1,7976.95,8007.6,0,2025-10-15 10:50:53.899
2012-10-04,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3527.8,3561.15,3526.95,3536.3,0,2025-10-15 10:53:52.910
2012-10-05,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3545.2,3565.8,3474.9,3510.9,0,2025-10-15 10:53:52.910
2012-10-05,NIFTY 50,NIFTY 50,NSE,5815.0,5815.35,4888.2,5746.95,0,2025-10-15 10:50:43.804
2012-10-05,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,8012.75,8066.2,7856.85,7934.4,0,2025-10-15 10:50:53.899
2012-10-08,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3513.3,3536.65,3487.0,3499.2,0,2025-10-15 10:53:52.910
2012-10-08,NIFTY 50,NIFTY 50,NSE,5751.85,5751.85,5666.2,5676.0,0,2025-10-15 10:50:43.804
2012-10-08,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7934.5,7980.95,7875.55,7885.9,0,2025-10-15 10:50:53.899
2012-10-09,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3490.05,3538.55,3490.05,3514.4,0,2025-10-15 10:53:52.910
2012-10-09,NIFTY 50,NIFTY 50,NSE,5708.15,5728.65,5677.9,5704.6,0,2025-10-15 10:50:43.804
2012-10-09,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7887.55,7965.15,7887.55,7935.4,0,2025-10-15 10:50:53.899
2012-10-10,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3510.45,3510.45,3446.75,3449.8,0,2025-10-15 10:53:52.910
2012-10-10,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7932.9,7932.9,7803.7,7814.5,0,2025-10-15 10:50:53.899
2012-10-10,NIFTY 50,NIFTY 50,NSE,5671.15,5686.5,5647.05,5652.15,0,2025-10-15 10:50:43.804
2012-10-11,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7814.8,7926.6,7780.4,7915.8,0,2025-10-15 10:50:53.899
2012-10-11,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3450.3,3489.9,3431.3,3488.0,0,2025-10-15 10:53:52.910
2012-10-11,NIFTY 50,NIFTY 50,NSE,5663.5,5721.1,5636.95,5708.05,0,2025-10-15 10:50:43.804
2012-10-12,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3490.3,3523.9,3480.8,3483.5,0,2025-10-15 10:53:52.910
2012-10-12,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7915.15,7991.8,7910.15,7921.5,0,2025-10-15 10:50:53.899
2012-10-12,NIFTY 50,NIFTY 50,NSE,5681.7,5725.0,5659.35,5676.05,0,2025-10-15 10:50:43.804
2012-10-15,NIFTY 50,NIFTY 50,NSE,5674.25,5693.7,5651.05,5687.25,0,2025-10-15 10:50:43.804
2012-10-15,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7921.45,7951.1,7913.1,7936.9,0,2025-10-15 10:50:53.899
2012-10-15,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3490.8,3509.05,3488.25,3491.5,0,2025-10-15 10:53:52.910
2012-10-16,NIFTY 50,NIFTY 50,NSE,5705.6,5714.0,5635.6,5648.0,0,2025-10-15 10:50:43.804
2012-10-16,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3491.85,3530.65,3477.0,3482.4,0,2025-10-15 10:53:52.910
2012-10-16,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7937.85,7984.55,7849.35,7859.3,0,2025-10-15 10:50:53.899
2012-10-17,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7860.95,7917.5,7827.3,7861.5,0,2025-10-15 10:50:53.899
2012-10-17,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3488.5,3509.95,3478.0,3493.4,0,2025-10-15 10:53:52.910
2012-10-17,NIFTY 50,NIFTY 50,NSE,5681.1,5684.35,5633.9,5660.25,0,2025-10-15 10:50:43.804
2012-10-18,NIFTY 50,NIFTY 50,NSE,5675.3,5722.5,5650.55,5718.7,0,2025-10-15 10:50:43.804
2012-10-18,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7862.55,7947.65,7862.55,7945.3,0,2025-10-15 10:50:53.899
2012-10-18,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3498.85,3547.05,3498.85,3545.4,0,2025-10-15 10:53:52.910
2012-10-19,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7944.3,7976.0,7877.95,7903.8,0,2025-10-15 10:50:53.899
2012-10-19,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3538.35,3565.5,3518.95,3528.5,0,2025-10-15 10:53:52.910
2012-10-19,NIFTY 50,NIFTY 50,NSE,5703.3,5711.7,5660.0,5684.25,0,2025-10-15 10:50:43.804
2012-10-22,NIFTY 50,NIFTY 50,NSE,5667.6,5721.55,5658.05,5717.15,0,2025-10-15 10:50:43.804
2012-10-22,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3524.75,3531.7,3504.0,3507.1,0,2025-10-15 10:53:52.910
2012-10-22,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7902.9,7926.55,7862.8,7909.2,0,2025-10-15 10:50:53.899
2012-10-23,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3511.85,3527.0,3488.05,3490.5,0,2025-10-15 10:53:52.910
2012-10-23,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7909.25,7933.1,7866.85,7873.9,0,2025-10-15 10:50:53.899
2012-10-23,NIFTY 50,NIFTY 50,NSE,5715.65,5720.8,5681.45,5691.4,0,2025-10-15 10:50:43.804
2012-10-25,NIFTY 50,NIFTY 50,NSE,5688.8,5718.75,5685.7,5705.3,0,2025-10-15 10:50:43.804
2012-10-25,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3486.15,3501.2,3473.35,3490.2,0,2025-10-15 10:53:52.910
2012-10-25,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7873.9,7901.3,7829.9,7882.2,0,2025-10-15 10:50:53.899
2012-10-26,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7880.7,7900.8,7766.9,7790.5,0,2025-10-15 10:50:53.899
2012-10-26,NIFTY 50,NIFTY 50,NSE,5683.55,5697.2,5641.75,5664.3,0,2025-10-15 10:50:43.804
2012-10-26,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3493.1,3496.05,3438.55,3443.7,0,2025-10-15 10:53:52.910
2012-10-29,NIFTY 50,NIFTY 50,NSE,5665.2,5698.3,5645.1,5665.6,0,2025-10-15 10:50:43.804
2012-10-29,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7790.35,7830.15,7748.65,7766.5,0,2025-10-15 10:50:53.899
2012-10-29,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3456.2,3463.65,3418.4,3428.6,0,2025-10-15 10:53:52.910
2012-10-30,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7767.15,7794.0,7658.95,7682.3,0,2025-10-15 10:50:53.899
2012-10-30,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3426.25,3443.7,3380.6,3382.5,0,2025-10-15 10:53:52.910
2012-10-30,NIFTY 50,NIFTY 50,NSE,5656.35,5689.9,5589.9,5597.9,0,2025-10-15 10:50:43.804
2012-10-31,NIFTY 50,NIFTY 50,NSE,5596.75,5624.4,5583.05,5619.7,0,2025-10-15 10:50:43.804
2012-10-31,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7682.35,7769.7,7672.95,7763.0,0,2025-10-15 10:50:53.899
2012-10-31,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3382.2,3411.8,3376.75,3410.2,0,2025-10-15 10:53:52.910
2012-11-01,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3412.55,3434.15,3408.1,3430.3,0,2025-10-15 10:53:52.910
2012-11-01,NIFTY 50,NIFTY 50,NSE,5609.85,5649.75,5601.95,5645.05,0,2025-10-15 10:50:43.804
2012-11-01,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7763.8,7837.05,7757.95,7832.3,0,2025-10-15 10:50:53.899
2012-11-02,NIFTY 50,NIFTY 50,NSE,5696.35,5711.3,5682.55,5697.7,0,2025-10-15 10:50:43.804
